latitude,longitude,depth,mag,time
61.3941,-149.8685,13.3,2.1,1668769489291
61.3279,-150.2153,37.4,1.1,1668769362663
62.6324,-151.3403,87.4,1.6,1668768962855
63.1502,-144.438,10.6,1.1,1668768865369
33.9905,-118.4058333,9.78,1.03,1668768640420
59.7985,-138.9073,6.3,1.5,1668768612041
59.786,-138.9084,4.7,1.8,1668768571245
64.4774,-147.3065,1.5,1.4,1668768298437
33.8283333,-116.1546667,3.06,0.69,1668768215620
19.2358341217041,-155.376998901367,32.7999992370605,2.24,1668768041400
47.6165,-120.265,4.11,0.41000000000000003,1668768035850
51.859,-177.997833333333,2.85,1.32,1668767603660
51.4801,179.624,72.487,3.3,1668767243683
40.9576667,-121.7645,14.28,1.5,1668766195730
64.3956,-147.4114,5,1.4,1668765945513
-6.4384,130.0001,166.342,4.3,1668765907313
64.4079,-147.3969,9.6,1.1,1668765845410
58.2706666666667,-154.829833333333,14.14,0.54,1668765222480
60.1883,-153.2443,151.2,2.6,1668764991805
33.945,-116.8308333,9.09,0.7,1668764969880
63.2581,-149.5352,92.4,1,1668764964182
60.1869,-139.706,20,0.8,1668764779883
56.3463,-149.3048,10,2.9,1668764205852
38.1798,-117.7433,8.9,1.9,1668764124441
38.7963333,-122.753,2.43,0.02,1668764011800
63.5665,-147.7021,79.1,1,1668763963073
37.029,-116.4422,8.5,-0.4,1668763902572
61.6989,-150.2295,7.5,1,1668763832437
36.8501667,-121.5803333,5.39,1.31,1668763596050
60.1288,-152.8083,97.2,2.2,1668763497490
37.0308,-116.4374,8.5,-0.2,1668763336846
53.4366666666667,-168.069166666667,2.44,-0.15,1668763207970
37.0338,-116.4388,8.1,-0.1,1668763201147
61.551,-147.2498,27,0.8,1668762874692
37.0263,-116.4329,10.7,-0.4,1668762513318
31.62061311,-103.9781325,5.861633301000001,2.4,1668762320663
31.63432551,-104.0007935,6.093005371,2.6,1668762296076
60.9108,-152.1452,93.2,1.5,1668762283805
31.62335485,-103.982987,7.27557373,1.9,1668762249499
64.3956,-147.3894,13.4,0.7,1668761966839
39.0131,-118.1529,12.3,1.1,1668761910379
64.391,-147.3856,6.5,2,1668761383130
64.4112,-147.3878,3.6,2.8,1668761295997
33.2191667,-116.7505,10.87,0.53,1668761157380
38.8336678,-122.8164978,1.96,0.94,1668760684630
53.1665,159.7119,67.524,4.9,1668760408440
19.0583324432373,-155.356994628906,35.0699996948242,2.04999995,1668760384910
63.006,-150.3315,80.3,1.1,1668760297492
51.8638333333333,-178.018833333333,4.75,0.71,1668760118690
19.2253341674805,-155.399002075195,31.8899993896484,2.18000007,1668759957710
61.5324,-150.7019,58,1.6,1668759885643
